kabko,lat,long
 MESUJI,-4.0045,105.3131
 PESAWARAN,-5.4932,105.0791
 PESISIR BARAT,-5.2928,104.1234
 PRINGSEWU,-5.3331,104.9856
 TULANG BAWANG,-4.3177,105.5005
 TULANG BAWANG BARAT,-4.5257,105.0791
 TANGGAMUS,-5.3027,104.5655
 WAY KANAN,-4.4964,104.5655
 BANDAR LAMPUNG,-5.3971,105.2668
 METRO,-5.1178,105.3073
 LEBAK,-6.5644,106.2522
 PANDEGLANG,-6.7483,105.6882
 SERANG,-6.1397,106.0405
 TANGERANG,-6.1872,106.4877
 CILEGON,-6.0025,106.0111
 SERANG,-6.1104,106.164
 TANGERANG,-6.2024,106.6527
 TANGERANG SELATAN,-6.2835,106.7113
 BANDUNG,-7.1341,107.6215
 BANDUNG BARAT,-6.8652,107.492
 BEKASI,-6.2474,107.1485
 BOGOR,-6.5518,106.6291
 CIAMIS,-7.3321,108.3493
 CIANJUR,-7.358,107.1957
 CIREBON,-6.6899,108.4751
 GARUT,-7.5012,107.7636
 INDRAMAYU,-6.3373,108.3258
 KARAWANG,-6.3227,107.3376
 KUNINGAN,-7.0138,108.5701
 MAJALENGKA,-6.7791,108.2852
 PANGANDARAN,-7.6151,108.4988
 PURWAKARTA,-6.5649,107.4322
 SUBANG,-6.3488,107.7636
 SUKABUMI,-6.8649,106.9536
 SUMEDANG,-6.8329,107.9532
 TASIKMALAYA,-7.6513,108.1429
 BANDUNG,-6.9175,107.6191
 BANJAR,-7.3707,108.5342
 BEKASI,-6.2383,106.9756
 BOGOR,-6.5971,106.806
 CIMAHI,-6.8841,107.5413
 CIREBON,-6.732,108.5523
 DEPOK,-6.4025,106.7942
 SUKABUMI,-6.9277,106.93
 TASIKMALAYA,-7.3506,108.2172
 JAKARTA,-6.1751,106.865
 ADMINISTRASI KEPULAUAN SERIBU,-5.6122,106.617
 BANJARNEGARA,-7.3794,109.6163
 BANYUMAS,-7.4832,109.1404
 BATANG,-7.0392,109.9021
 BLORA,-7.0122,111.3799
 BOYOLALI,-7.4318,110.6884
 BREBES,-6.9592,108.9027
 CILACAP,-7.6178,108.9027
 DEMAK,-6.9239,110.6646
 GROBOGAN,-7.1542,110.9507
 JEPARA,-6.5827,110.6787
 KARANGANYAR,-7.6387,111.046
 KEBUMEN,-7.6681,109.6525
 KENDAL,-7.0265,110.1879
 KLATEN,-7.6579,110.6646
 KUDUS,-6.7726,110.8791
 MAGELANG,-7.4305,110.2832
 PATI,-6.745,111.046
 PEKALONGAN,-7.0517,109.6163
 PEMALANG,-7.0599,109.4259
 PURBALINGGA,-7.3059,109.4259
 PURWOREJO,-7.6965,109.9989
 REMBANG,-6.8082,111.4276
 SEMARANG,-7.1765,110.4739
 SRAGEN,-7.4303,111.0092
 SUKOHARJO,-7.6484,110.8553
 TEGAL,-6.8588,109.1048
 TEMANGGUNG,-7.2749,110.0892
 WONOGIRI,-7.8846,111.046
 WONOSOBO,-7.3632,109.9002
 MAGELANG,-7.4797,110.2177
 PEKALONGAN,-6.8898,109.6746
 SALATIGA,-7.3305,110.5084
 SEMARANG,-7.0051,110.4381
 SURAKARTA,-7.5755,110.8243
 TEGAL,-6.8797,109.1256
 BANTUL,-7.919,110.3785
 GUNUNGKIDUL,-8.0305,110.6169
 KULON PROGO,-7.8267,110.1641
 SLEMAN,-7.7325,110.4024
 YOGYAKARTA,-7.7956,110.3695
 BANGKALAN,-7.0384,112.9137
 BANYUWANGI,-8.2191,114.3691
 BLITAR,-8.0955,112.1609
 BOJONEGORO,-7.3175,111.7615
 BONDOWOSO,-7.9674,113.9061
 GRESIK,-7.155,112.5722
 JEMBER,-8.1845,113.6681
 JOMBANG,-7.5741,112.2861
 KEDIRI,-7.8232,112.1907
 LAMONGAN,-7.1269,112.3338
 LUMAJANG,-8.0944,113.1442
 MADIUN,-7.6093,111.6184
 MAGETAN,-7.6433,111.356
